company,inferred_domain,gtm_score,confidence,icp_tier,segment,market,known_markets,office_cities,ezcater_vertical,zi_industry,unique_roles_with_perk,role_count,top_keywords,best_source,all_sources,location,remote,sample_title,sample_url,perk_excerpt,date_first_seen,is_new,loc_signal_strength,expansion_confirmed,expansion_possible,existing_confirmed,existing_possible,location_jd_count,location_detail
Robinhood,robinhood.com,128,High,Very Viable,managed,San Francisco,San Francisco,"[{""city"": ""Menlo Park"", ""state"": ""California"", ""market"": ""San Francisco""}]",Finance,Investment Banking,118,118,"catered meals, fully stocked kitchen, stocked kitchen",Greenhouse,Greenhouse,"Menlo Park, CA; New York, NY; Washington, DC",On-site,"Staff Product Manager, Banking",https://boards.greenhouse.io/robinhood/jobs/7587151?t=gh_src=&gh_jid=7587151,"...al leave, and more!</li> <li>Lively office environment with catered meals, fully stocked kitchens, and geo-specific commuter benefits...",2026-04-28,0,expansion_confirmed,"Chicago, Denver, New York, Other, Seattle",,San Francisco,,130,"[{""market"": ""New York"", ""jd_count"": 41, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 14}, {""market"": ""Other"", ""jd_count"": 34, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""San Francisco"", ""jd_count"": 30, ""signal_strength"": ""confirmed"", ""loc_type"": ""existing"", ""max_kw_score"": 10}, {""market"": ""Denver"", ""jd_count"": 9, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""Seattle"", ""jd_count"": 8, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 14}, {""market"": ""Chicago"", ""jd_count"": 7, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 14}, {""market"": ""Washington DC"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Ripple,ripple.com,106,High,Very Viable,unmanaged,San Francisco,San Francisco,"[{""city"": ""Menlo Park"", ""state"": ""California"", ""market"": ""San Francisco""}]",Technology,Custom Software & IT Services,98,98,"catered lunch, stocked kitchen",Greenhouse,Greenhouse,"London, UK",On-site,"Senior Software Engineer, Banking Connectivity",https://ripple.com/careers/all-jobs/job/7729908?gh_jid=7729908,"...i style=""font-weight: 400;""><span style=""font-weight: 400;"">Catered lunches, fully-stocked kitchens with premium snacks/beverages, an...",2026-04-07,0,expansion_confirmed,"Chicago, Miami, New York, Other",,San Francisco,,125,"[{""market"": ""Other"", ""jd_count"": 37, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 10}, {""market"": ""New York"", ""jd_count"": 34, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 10}, {""market"": ""San Francisco"", ""jd_count"": 33, ""signal_strength"": ""confirmed"", ""loc_type"": ""existing"", ""max_kw_score"": 10}, {""market"": ""Chicago"", ""jd_count"": 16, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 10}, {""market"": ""Miami"", ""jd_count"": 5, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 10}]"
Fivetran,fivetran.com,74,High,Very Viable,unmanaged,San Francisco,San Francisco,"[{""city"": ""Oakland"", ""state"": ""California"", ""market"": ""San Francisco""}]",Technology,Database & File Management Software,91,91,free food,Greenhouse,Greenhouse,"Bengaluru, Karnataka, India, APAC",Hybrid,Senior Manager Software Engineering,https://www.fivetran.com/careers/job?gh_jid=7670783003,"...raining opportunities</li> <li>Company virtual happy hours, free food, and fun team-building activities</li> <li>Monthly cell pho...",2026-04-24,0,expansion_confirmed,"Denver, New York, Other",,,,173,"[{""market"": ""Other"", ""jd_count"": 140, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 6}, {""market"": ""Denver"", ""jd_count"": 26, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 6}, {""market"": ""New York"", ""jd_count"": 7, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 6}]"
Cohere,cohere-technologies.com,72,High,Very Viable,unmanaged,San Francisco,San Francisco,"[{""city"": ""San Jose"", ""state"": ""California"", ""market"": ""San Francisco""}]",Info and Comms,Networking Software,119,119,"lunch stipend, office lunch",Ashby,Ashby,Toronto,Remote,"Manager, Real Estate & Facilities",https://jobs.ashbyhq.com/cohere/4595759c-0d57-4ffa-805a-4577e994676a,"...the cutting edge of AI research 🍽 Weekly lunch stipend, in-office lunches & snacks 🦷 Full health and dental benefits, including a s...",2026-04-29,0,expansion_confirmed,"New York, Other",,San Francisco,,122,"[{""market"": ""Other"", ""jd_count"": 98, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 5}, {""market"": ""New York"", ""jd_count"": 10, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 5}, {""market"": ""San Francisco"", ""jd_count"": 10, ""signal_strength"": ""confirmed"", ""loc_type"": ""existing"", ""max_kw_score"": 5}, {""market"": ""Washington DC"", ""jd_count"": 2, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 5}, {""market"": ""Dallas"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 5}, {""market"": ""Houston"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 5}]"
Taboola,taboola.com,67,High,Very Viable,unmanaged,New York,,"[{""city"": ""New York City"", ""state"": ""New York"", ""market"": ""Other""}]",Business Services,Advertising & Marketing,40,40,"fully stocked kitchen, office lunch, stocked kitchen",Greenhouse,Greenhouse,"New York City (NYC), New York, United States",Hybrid,"Senior Advertising Sales Manager, Enterprise",https://www.taboola.com/careers/job/7646053?gh_jid=7646053,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-30,0,expansion_confirmed,"New York, Other",Atlanta,,,40,"[{""market"": ""Other"", ""jd_count"": 26, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""New York"", ""jd_count"": 9, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""Atlanta"", ""jd_count"": 4, ""signal_strength"": ""possible"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""Los Angeles"", ""jd_count"": 1, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Squarespace,squarespace.com,63,High,Very Viable,unmanaged,Other,,"[{""city"": ""New York City"", ""state"": ""New York"", ""market"": ""Other""}]",Technology,Content & Collaboration Software,27,27,free lunch,Greenhouse,Greenhouse,Dublin,Hybrid,Software Engineering Team Manager - Help Experience,http://www.squarespace.com/about/careers?gh_jid=7638529,...</li> <li>7 Global Employee Resource Groups (ERGs)</li> <li>Free lunch and snacks</li> <li>Close proximity to cultural landmarks s...,2026-04-15,0,expansion_confirmed,"New York, Other",,,,27,"[{""market"": ""New York"", ""jd_count"": 20, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""Other"", ""jd_count"": 7, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Pubmatic,pubmatic.com,60,High,Very Viable,unmanaged,San Francisco,San Francisco,"[{""city"": ""Redwood City"", ""state"": ""California"", ""market"": ""San Francisco""}]",Info and Comms,Advertising & Marketing,47,47,catered lunch,Greenhouse,Greenhouse,"Redwood City, US",Hybrid,"Associate Director/Director, Product Management, Conversational AI Advertising",https://pubmatic.com/job/?gh_jid=5159565008,...sement for mobile and fully stocked pantries plus in-office catered lunches 5 days per week.</p> <p><strong>Diversity and Inclusion</...,2026-04-06,0,expansion_confirmed,"New York, Other",,,San Francisco,52,"[{""market"": ""Other"", ""jd_count"": 29, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""New York"", ""jd_count"": 17, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""San Francisco"", ""jd_count"": 4, ""signal_strength"": ""possible"", ""loc_type"": ""existing"", ""max_kw_score"": 7}, {""market"": ""Chicago"", ""jd_count"": 2, ""signal_strength"": ""noise"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Zocdoc,zocdoc.com,56,High,Very Viable,unmanaged,Other,,"[{""city"": ""New York City"", ""state"": ""New York"", ""market"": ""Other""}]",Technology,Healthcare Software,44,44,catered lunch,Greenhouse,Greenhouse,"Pune, Maharashtra, India",On-site,Provider Data Operations Senior Associate,https://job-boards.greenhouse.io/zocdoc/jobs/7707307,"...attractive medical insurance</li> <li>Amazing perks – think catered lunch every day, Ping Pong, etc.</li> <li>Daycare/creche facility...",2026-04-14,0,expansion_confirmed,"New York, Other",,,,48,"[{""market"": ""New York"", ""jd_count"": 33, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""Other"", ""jd_count"": 15, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Lithic,lithic.com,55,High,Very Viable,unmanaged,Other,,[],,Credit Cards & Transaction Processing,10,10,catered lunch,Greenhouse,Greenhouse,Remote ,Remote,"Senior Software Engineer, Data Platform",https://job-boards.greenhouse.io/lithic/jobs/5833301004,...oyees receive:&nbsp;</p> <ul> <li>Commuter benefit</li> <li>Catered lunch every Tuesday and Thursday</li> </ul></div>...,2026-04-17,0,expansion_confirmed,"New York, Other",,,,14,"[{""market"": ""Other"", ""jd_count"": 9, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""New York"", ""jd_count"": 5, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
Airwallex,airwallex.com,54,High,Very Viable,unmanaged,Other,,"[{""city"": ""Guoco Tower"", ""state"": ""Victoria"", ""market"": ""Other""}]",Finance,Banking,24,24,"daily lunch, fully stocked kitchen, stocked kitchen",Ashby,Ashby,SG - Singapore,On-site,"(Senior) Software Engineer, Global Payments, SH relo to SG",https://jobs.ashbyhq.com/airwallex/d2770857-8f59-487e-9622-5c7ea64a54be,...people by providing collaborative open office space with a fully stocked kitchen. We organise regular team-building events and we give our p...,2025-12-09,0,expansion_confirmed,Other,San Francisco,,,25,"[{""market"": ""Other"", ""jd_count"": 22, ""signal_strength"": ""confirmed"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}, {""market"": ""San Francisco"", ""jd_count"": 3, ""signal_strength"": ""possible"", ""loc_type"": ""expansion"", ""max_kw_score"": 7}]"
