source,company,title,location,remote,food_keywords_matched,keyword_count,perk_excerpt,date_posted,url
Greenhouse,Taboola,Business Applications Specialist (Salesforce & GenAI),"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, and various gym partnerships.</li> <li><strong>Flexibility...",2026-04-14,https://www.taboola.com/careers/job/7742890?gh_jid=7742890
Greenhouse,Mongodb,"2026 - Program Management & Strategic Initiatives Intern, NYC",New York City,Hybrid,free lunch,1,"...cess to mental and physical health benefits, paid time off, free lunch, and more!</li> <li>Impactful Projects: Contribute to proje...",2026-04-14,https://www.mongodb.com/careers/job/?gh_jid=7335926
Greenhouse,Taboola,Programmatic Account Manager,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, parking and various gym partnerships.</span></li> <li styl...",2026-04-13,https://www.taboola.com/careers/job/7538612?gh_jid=7538612
Greenhouse,Taboola,"Advertising Account Manager, Growth","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7678634?gh_jid=7678634
Greenhouse,Taboola,"Associate Publisher Account Manager, SMB","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7650616?gh_jid=7650616
Greenhouse,Taboola,Human Resources Business Partner,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...l, vision, 401k matching), pre-tax commuter benefits, and a fully stocked kitchen.</li> <li><strong>Flexibility: </strong>We offer a hybrid w...",2026-04-13,https://www.taboola.com/careers/job/7720784?gh_jid=7720784
Greenhouse,Taboola,"Publisher Account Manager, SMB","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7219709?gh_jid=7219709
Greenhouse,Taboola,Account Executive,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7572047?gh_jid=7572047
Greenhouse,Klaviyo,"Senior Software Engineer, Internationalisation Platform","London, UK",On-site,free lunch,1,...y from customers and suggesting cool new approaches.</p> <p>Free lunch at our Aldgate office three times a week<br>Highly competit...,2026-03-31,https://www.klaviyo.com/careers/jobs?gh_jid=7568452003
Greenhouse,Braze,"Account Executive, Japan",Tokyo,Hybrid,office lunch,1,...y</li> <li>Braze 内で支援コミュニティを構築する従業員リソースグループ</li> <li>毎週水曜日の Office Lunch Offering</li> <li>他部署とのランチ会</li> <li>Referral Program</li>...,2026-03-06,https://boards.greenhouse.io/braze/jobs/7516233?gh_jid=7516233
Greenhouse,Taboola,"Publisher Sales Manager, SMB","New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...trong> Enjoy comprehensive benefits (health, 401k, etc.), a fully stocked kitchen, and location-specific perks (gym partnerships, parking).</...",2026-04-13,https://www.taboola.com/careers/job/7457440?gh_jid=7457440
Greenhouse,Taboola,Supply Programmatic Account Manager,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, parking and various gym partnerships.</span></li> <li styl...",2026-04-13,https://www.taboola.com/careers/job/7718046?gh_jid=7718046
Greenhouse,Taboola,Solution Engineer,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, and various gym partnerships.</li> <li style=""font-family:...",2026-04-13,https://www.taboola.com/careers/job/7553005?gh_jid=7553005
Greenhouse,Taboola,Salesforce & GenAI Tech Specialist,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...ental, vision, 401k matching), pre-tax commuter benefits, a fully stocked kitchen, and various gym partnerships.</li> <li><strong>Flexibility...",2026-04-14,https://www.taboola.com/careers/job/7742865?gh_jid=7742865
Greenhouse,Taboola,Senior HRBP,"New York City (NYC), New York, United States",Hybrid,"fully stocked kitchen, stocked kitchen",2,"...l, vision, 401k matching), pre-tax commuter benefits, and a fully stocked kitchen.</li> <li><strong>Flexibility: </strong>We offer a hybrid w...",2026-04-13,https://www.taboola.com/careers/job/7745870?gh_jid=7745870
Greenhouse,Robinhood,Android Engineer,"Menlo Park, CA",On-site,catered meals,1,"...eave, and more!</li> <li>Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-03-10,https://boards.greenhouse.io/robinhood/jobs/7350823?t=gh_src=&gh_jid=7350823
Greenhouse,Robinhood,Android Engineer,"Menlo Park, CA",On-site,catered meals,1,"...t=""2455"" data-end=""3175"">Exceptional office experience with catered meals, events, and comfortable workspaces.</li> </ul><div class=""...",2026-04-06,https://boards.greenhouse.io/robinhood/jobs/7776330?t=gh_src=&gh_jid=7776330
